,human_count,all_count,percentage_endo
E5,175600,11487470,1.528622055160971
F4,183259,9696234,1.890001829576308
E2,214203,8327324,2.5722909304357557
E1,227278,10907632,2.083660321506996
B10,375059,11695702,3.2068105018407613
C3,51792,10324844,0.5016250124457086
B7,423399,11698532,3.6192489792736384
A1,153528,10803284,1.421123428764809
E12,180817,12377546,1.4608469239379114
D3,254238,11408122,2.2285701362590618
C2,43231,9075014,0.4763739207454666
D7,225207,11510432,1.9565468958940897
D1,269617,12033292,2.240592183751545
B2,112611,13075492,0.8612371909217641
A2,120257,10901438,1.103129697201415
A6,160317,12356964,1.2973817840692907
A8,273006,10723706,2.5458176492343223
C10,215235,13017016,1.6534895555171785
C9,136464,10845174,1.258292398074941
B8,340796,10653408,3.1989387809046645
B4,166426,10508250,1.5837651369162324
A3,145562,12421768,1.1718299681655622
D12,237623,9704844,2.448498914562666
C11,284235,11279754,2.519868784372425
E11,192428,11743308,1.6386183518306767
A5,215066,11882440,1.8099481251325484
B1,63371,15456544,0.4099946275182861
A11,199370,9271072,2.150452504305867
C1,184712,11074722,1.6678703086181306
C12,238833,10917346,2.187647071000589
D6,386640,11700012,3.3046119952697484
F1,262879,10183936,2.581310408863528
B11,298888,10967064,2.725323751188103
B5,126996,12667796,1.0025106182638241
D11,155294,8180156,1.8984234530490616
B3,133929,11241482,1.1913820615466892
D5,243972,11283954,2.1621144503070466
A9,186274,8874688,2.0989357597698084
C4,42364,9825904,0.43114608080844263
D2,177084,11314076,1.5651653745299219
D9,143234,10521106,1.3613967961163018
E3,150478,10696592,1.406784516040249
E9,197977,9446418,2.0957891128679673
C7,180169,15386204,1.170977584854588
F3,150425,11413220,1.317989138910842
A4,110957,10818038,1.0256665765086053
E6,440959,11818510,3.731087929019817
D8,196516,10573060,1.8586483004920051
C6,137728,14126344,0.9749727176401765
